,title,response
0,<start> it kills me to see others in worse positions than i am . you matter . you all matter and it does not matter what your depression or suicidal thoughts tell you . <end>,"<start> i do not know who you are , but i needed this and i thank you . i have been stuck in runt for a couple months now . wanting to just die and let it all be over with . but after reading it , i have a different mindset . once again thank you kind stranger <end>"
1,"<start> i do not know who you are , but i needed this and i thank you . i have been stuck in runt for a couple months now . wanting to just die and let it all be over with . but after reading it , i have a different mindset . once again thank you kind stranger <end>","<start> its no problem . i just know what its like . i have been in this rut for a year , and i hate how many people are in the same , if not a worse position . do not kill yourself . all the things that made you happy in the past , that can still happen . it takes time and effort , and a lot of it , but believe me when i say its worth living . its difficult to just get out of bed . but if you start turning depression into like , a source of motivation , it can help . x b for example we are all depressed , that is why we are here , but we do not want to stay here . i remember when i was happy although i do not remember the feeling . i do not care what you do , just do not give up . x b i have split my brain and depression into two separate entities . try doing that . it helps me see and think clearer . <end>"
4,"<start> chronically depressed years i feel pathetic , but am finding small victories in my daily routine lately . <end>","<start> it is nice when people give us compliments . we have to learn to love ourselves . do things we love , meet new people , wake up early get a workout in . do not watch any negative news , get your mind in grateful state and attack the day . something about the first few hours of the day that are the quietest and most rewarding <end>"
5,<start> sick of being sad and lonely <end>,"<start> dude , i am terribly sorry for how things have happened and i can not even fathom how much it must hurt to have had it constantly in your face . but for now , there is the positive that you will no longer have to face it daily . and believe me , as soon as something is out of sight , it slowly but surely gets out of your mind . i can only assume that you are feeling the weight of the expectations you had for your senior year crushing you when you compare it to what actually happened , but still . experiences never quite live up to expectations . as for the decision you made about this girl , you can only take it as experience . i will not say things happen for a reason but i will say that you should not beat yourself up for the decision you made at the time . it was done upon what you thought you knew about her , and in the end you did it to protect yourself , which is not inherently wrong . the way i look at it , is that you would have never known that it was wrong until you did it . and that means you only can do better in the future . and hey , working out and having a business in high school are no small feat , specially taking in account everything that was running through your head at the same time . believe me . for now at least you can say that if another girl like her comes along , you will not let yourself wall up , and actually try , even if it ends up hurting . you are going to do great things kid . and it is more than ok to feel depressed , especially after everything has come and gone and you can actually look back on it , but do not do anything rash . in life there are only two things that are a definite , death and change . so i really hope you await the next wave of change . godspeed , and trust in change . <end>"
6,"<start> dude , i am terribly sorry for how things have happened and i can not even fathom how much it must hurt to have had it constantly in your face . but for now , there is the positive that you will no longer have to face it daily . and believe me , as soon as something is out of sight , it slowly but surely gets out of your mind . i can only assume that you are feeling the weight of the expectations you had for your senior year crushing you when you compare it to what actually happened , but still . experiences never quite live up to expectations . as for the decision you made about this girl , you can only take it as experience . i will not say things happen for a reason but i will say that you should not beat yourself up for the decision you made at the time . it was done upon what you thought you knew about her , and in the end you did it to protect yourself , which is not inherently wrong . the way i look at it , is that you would have never known that it was wrong until you did it . and that means you only can do better in the future . and hey , working out and having a business in high school are no small feat , specially taking in account everything that was running through your head at the same time . believe me . for now at least you can say that if another girl like her comes along , you will not let yourself wall up , and actually try , even if it ends up hurting . you are going to do great things kid . and it is more than ok to feel depressed , especially after everything has come and gone and you can actually look back on it , but do not do anything rash . in life there are only two things that are a definite , death and change . so i really hope you await the next wave of change . godspeed , and trust in change . <end>",<start> this is probably some of the best advice i have got on reedit . thanks for being so understanding and helpful . you do not know how much that means to me . <end>
7,<start> this is probably some of the best advice i have got on reedit . thanks for being so understanding and helpful . you do not know how much that means to me . <end>,"<start> hey , we are all confused ass people roaming around the earth and reedit . i am glad i could be of help , us depressed peeps need to stick together . and , if i can ask anything of you , just try to do the same for someone else . empathy changes the world . kick some ass in college , my dude . <end>"
8,<start> yesterday was my birthday . i had a great morning then after lunch i got hit with a major depressive episode <end>,"<start> i sometimes find that after a few days of a high , i come crashing down with a low and vice versa . it does not take much for the switch to get flicked . it is a symptom of being bipolar . <end>"
9,<start> tips for depression <end>,"<start> every time i wake up sad , i force myself to eat , sit in the sun or walk in the sun and soon enough the dread has faded . you can not get over it only work trough it . <end>"
10,<start> i do not want anything . <end>,<start> i am feeling exactly the same . i want to do so many things but i just can not . i also want someone to talk but i have only one good friend and he does not talk about these types of things . stay strong . <end>
11,<start> i am feeling exactly the same . i want to do so many things but i just can not . i also want someone to talk but i have only one good friend and he does not talk about these types of things . stay strong . <end>,"<start> your friends may not talk about these things , but remember , there is always friendly people on the internet that will . and thank you , i will stay strong . <end>"
12,<start> thank you <end>,<start> no problem . its no big deal for me . things can and will get better if you put your mind to it . you can do it . <end>
13,<start> i want to help my long distance ex s o <end>,<start> you are so welcome and i hope life turns out good for you <end>
14,<start> you are so welcome and i hope life turns out good for you <end>,"<start> you are so kind , i wish you the best as well <end>"
15,<start> tips for helping a friend <end>,<start> the only thing you can do is be supportive of her in a positive way and show her you care and show her that she is important . it is hard to prove to someone that has depression that you truly care and that their life is worth it . it is constant work but all you need to do is show love and compassion in the smallest ways and also as much as you can . things like depression are a constant battle but it will not always be so hard . <end>
16,<start> the only thing you can do is be supportive of her in a positive way and show her you care and show her that she is important . it is hard to prove to someone that has depression that you truly care and that their life is worth it . it is constant work but all you need to do is show love and compassion in the smallest ways and also as much as you can . things like depression are a constant battle but it will not always be so hard . <end>,<start> thank you . i know how she feels it is just . . . i feel so useless when it comes to helping someone with it . <end>
